Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
01/07/2019,LTCUSD,122.06,125.56,120.52,124.83,29247.36,3602197.39
30/06/2019,LTCUSD,133.21,136.81,119.3,122.06,478184.18,61667982.37
29/06/2019,LTCUSD,119.47,136.5,115,133.21,529053.25,67414450.08
28/06/2019,LTCUSD,114.16,121.8,112.35,119.47,345758.71,40530765.88
27/06/2019,LTCUSD,130.64,132.11,109.09,114.16,812790.58,95848076.48
26/06/2019,LTCUSD,135.55,138.21,123,130.64,699143.78,93496130.47
25/06/2019,LTCUSD,135.26,138.33,129,135.55,275704.04,37017233.4
24/06/2019,LTCUSD,136.66,136.66,132.13,135.26,216636.01,29153891.15
23/06/2019,LTCUSD,141.46,142.2,135.2,136.66,234829.3,32753230.82
22/06/2019,LTCUSD,139.04,146,137.56,141.46,548256.3,77550932.69
21/06/2019,LTCUSD,135.75,141.53,135.35,139.04,334033.78,46033204.23
20/06/2019,LTCUSD,136.81,137.15,133.37,135.75,157209,21243510.52
19/06/2019,LTCUSD,135.1,139.66,133.57,136.81,238145.38,32664069.27
18/06/2019,LTCUSD,134.21,136.98,128.91,135.1,242769.92,32330400.8
17/06/2019,LTCUSD,137,137.4,132.05,134.21,220598.11,29751244.56
16/06/2019,LTCUSD,138.35,139.14,133.07,137,267963.3,36476362.88
15/06/2019,LTCUSD,132.56,140,132.56,138.35,274554.23,37518923.38
14/06/2019,LTCUSD,130.89,133.23,125.6,132.56,340800.6,44270987.29
13/06/2019,LTCUSD,136.19,136.99,128,130.89,378795.44,50458825.22
12/06/2019,LTCUSD,136.2,144.34,130.45,136.19,629423.83,86833837.51
11/06/2019,LTCUSD,129.76,138.99,125.34,136.2,583571.82,77207829.53
10/06/2019,LTCUSD,114.83,130.78,112.66,129.76,583717.09,72504829.91
09/06/2019,LTCUSD,118.5,119.3,111.09,114.83,275844.02,31789640.01
08/06/2019,LTCUSD,117.07,120,114,118.5,255271.04,29838595.45
07/06/2019,LTCUSD,111.47,121.57,109.9,117.07,474747.93,55157960.57
